DATE,TB3MS
1/1/1954,1.18
2/1/1954,0.97
3/1/1954,1.03
4/1/1954,0.97
5/1/1954,0.76
6/1/1954,0.64
7/1/1954,0.72
8/1/1954,0.92
9/1/1954,1.01
10/1/1954,0.98
11/1/1954,0.93
12/1/1954,1.15
1/1/1955,1.22
2/1/1955,1.17
3/1/1955,1.28
4/1/1955,1.59
5/1/1955,1.45
6/1/1955,1.41
7/1/1955,1.6
8/1/1955,1.9
9/1/1955,2.07
10/1/1955,2.23
11/1/1955,2.24
12/1/1955,2.54
1/1/1956,2.41
2/1/1956,2.32
3/1/1956,2.25
4/1/1956,2.6
5/1/1956,2.61
6/1/1956,2.49
7/1/1956,2.31
8/1/1956,2.6
9/1/1956,2.84
10/1/1956,2.9
11/1/1956,2.99
12/1/1956,3.21
1/1/1957,3.11
2/1/1957,3.1
3/1/1957,3.08
4/1/1957,3.07
5/1/1957,3.06
6/1/1957,3.29
7/1/1957,3.16
8/1/1957,3.37
9/1/1957,3.53
10/1/1957,3.58
11/1/1957,3.31
12/1/1957,3.04
1/1/1958,2.44
2/1/1958,1.53
3/1/1958,1.3
4/1/1958,1.13
5/1/1958,0.91
6/1/1958,0.83
7/1/1958,0.91
8/1/1958,1.69
9/1/1958,2.44
10/1/1958,2.63
11/1/1958,2.67
12/1/1958,2.77
1/1/1959,2.82
2/1/1959,2.7
3/1/1959,2.8
4/1/1959,2.95
5/1/1959,2.84
6/1/1959,3.21
7/1/1959,3.2
8/1/1959,3.38
9/1/1959,4.04
10/1/1959,4.05
11/1/1959,4.15
12/1/1959,4.49
1/1/1960,4.35
2/1/1960,3.96
3/1/1960,3.31
4/1/1960,3.23
5/1/1960,3.29
6/1/1960,2.46
7/1/1960,2.3
8/1/1960,2.3
9/1/1960,2.48
10/1/1960,2.3
11/1/1960,2.37
12/1/1960,2.25
1/1/1961,2.24
2/1/1961,2.42
3/1/1961,2.39
4/1/1961,2.29
5/1/1961,2.29
6/1/1961,2.33
7/1/1961,2.24
8/1/1961,2.39
9/1/1961,2.28
10/1/1961,2.3
11/1/1961,2.48
12/1/1961,2.6
1/1/1962,2.72
2/1/1962,2.73
3/1/1962,2.72
4/1/1962,2.73
5/1/1962,2.69
6/1/1962,2.73
7/1/1962,2.92
8/1/1962,2.82
9/1/1962,2.78
10/1/1962,2.74
11/1/1962,2.83
12/1/1962,2.87
1/1/1963,2.91
2/1/1963,2.92
3/1/1963,2.89
4/1/1963,2.9
5/1/1963,2.93
6/1/1963,2.99
7/1/1963,3.18
8/1/1963,3.32
9/1/1963,3.38
10/1/1963,3.45
11/1/1963,3.52
12/1/1963,3.52
1/1/1964,3.52
2/1/1964,3.53
3/1/1964,3.54
4/1/1964,3.47
5/1/1964,3.48
6/1/1964,3.48
7/1/1964,3.46
8/1/1964,3.5
9/1/1964,3.53
10/1/1964,3.57
11/1/1964,3.64
12/1/1964,3.84
1/1/1965,3.81
2/1/1965,3.93
3/1/1965,3.93
4/1/1965,3.93
5/1/1965,3.89
6/1/1965,3.8
7/1/1965,3.84
8/1/1965,3.84
9/1/1965,3.92
10/1/1965,4.03
11/1/1965,4.09
12/1/1965,4.38
1/1/1966,4.59
2/1/1966,4.65
3/1/1966,4.59
4/1/1966,4.62
5/1/1966,4.64
6/1/1966,4.5
7/1/1966,4.8
8/1/1966,4.96
9/1/1966,5.37
10/1/1966,5.35
11/1/1966,5.32
12/1/1966,4.96
1/1/1967,4.72
2/1/1967,4.56
3/1/1967,4.26
4/1/1967,3.84
5/1/1967,3.6
6/1/1967,3.54
7/1/1967,4.21
8/1/1967,4.27
9/1/1967,4.42
10/1/1967,4.56
11/1/1967,4.73
12/1/1967,4.97
1/1/1968,5
2/1/1968,4.98
3/1/1968,5.17
4/1/1968,5.38
5/1/1968,5.66
6/1/1968,5.52
7/1/1968,5.31
8/1/1968,5.09
9/1/1968,5.19
10/1/1968,5.35
11/1/1968,5.45
12/1/1968,5.96
1/1/1969,6.14
2/1/1969,6.12
3/1/1969,6.02
4/1/1969,6.11
5/1/1969,6.04
6/1/1969,6.44
7/1/1969,7
8/1/1969,6.98
9/1/1969,7.09
10/1/1969,7
11/1/1969,7.24
12/1/1969,7.82
1/1/1970,7.87
2/1/1970,7.13
3/1/1970,6.63
4/1/1970,6.51
5/1/1970,6.84
6/1/1970,6.68
7/1/1970,6.45
8/1/1970,6.41
9/1/1970,6.12
10/1/1970,5.91
11/1/1970,5.28
12/1/1970,4.87
1/1/1971,4.44
2/1/1971,3.7
3/1/1971,3.38
4/1/1971,3.86
5/1/1971,4.14
6/1/1971,4.75
7/1/1971,5.4
8/1/1971,4.94
9/1/1971,4.69
10/1/1971,4.46
11/1/1971,4.22
12/1/1971,4.01
1/1/1972,3.38
2/1/1972,3.2
3/1/1972,3.73
4/1/1972,3.71
5/1/1972,3.69
6/1/1972,3.91
7/1/1972,3.98
8/1/1972,4.02
9/1/1972,4.66
10/1/1972,4.74
11/1/1972,4.78
12/1/1972,5.07
1/1/1973,5.41
2/1/1973,5.6
3/1/1973,6.09
4/1/1973,6.26
5/1/1973,6.36
6/1/1973,7.19
7/1/1973,8.01
8/1/1973,8.67
9/1/1973,8.29
10/1/1973,7.22
11/1/1973,7.83
12/1/1973,7.45
1/1/1974,7.77
2/1/1974,7.12
3/1/1974,7.96
4/1/1974,8.33
5/1/1974,8.23
6/1/1974,7.9
7/1/1974,7.55
8/1/1974,8.96
9/1/1974,8.06
10/1/1974,7.46
11/1/1974,7.47
12/1/1974,7.15
1/1/1975,6.26
2/1/1975,5.5
3/1/1975,5.49
4/1/1975,5.61
5/1/1975,5.23
