secid,date,days,forward_price,premium,impl_volatility,delta,cp_flag,ticker,index_flag
117801,20070702,30,15.792,1.131384,0.64325,0.536733,C,VIX,1
117801,20070702,60,15.932143,1.49443,0.601438,0.54852,C,VIX,1
117801,20070702,91,16.03,1.666873,0.54505,0.554119,C,VIX,1
117801,20070702,122,16.082857,1.827033,0.516288,0.559319,C,VIX,1
117801,20070702,152,16.114286,1.96357,0.497395,0.563752,C,VIX,1
117801,20070702,182,16.157419,2.02624,0.469195,0.565787,C,VIX,1
117801,20070702,273,16.234456,2.326439,0.4405,0.575534,C,VIX,1
117801,20070702,30,15.792,1.156615,0.657638,-0.462448,P,VIX,1
117801,20070702,60,15.932143,1.52465,0.613662,-0.450498,P,VIX,1
117801,20070702,91,16.03,1.686568,0.55153,-0.445241,P,VIX,1
117801,20070702,122,16.082857,1.837003,0.519126,-0.440357,P,VIX,1
117801,20070702,152,16.114286,1.968987,0.498779,-0.436072,P,VIX,1
117801,20070702,182,16.157419,2.043418,0.47321,-0.433655,P,VIX,1
117801,20070702,273,16.234456,2.38353,0.451447,-0.422613,P,VIX,1
117801,20070703,30,15.564285,1.041233,0.610956,0.534894,C,VIX,1
117801,20070703,60,15.747857,1.412187,0.586552,0.547325,C,VIX,1
117801,20070703,91,15.891429,1.600646,0.540203,0.553641,C,VIX,1
117801,20070703,122,16.038286,1.751443,0.51081,0.558694,C,VIX,1
117801,20070703,152,16.063928,1.888199,0.493659,0.563277,C,VIX,1
117801,20070703,182,16.097258,1.956371,0.467576,0.565562,C,VIX,1
117801,20070703,273,16.227392,2.264545,0.442601,0.57589,C,VIX,1
117801,20070703,30,15.564285,1.062307,0.623354,-0.4644,P,VIX,1
117801,20070703,60,15.747857,1.415981,0.588136,-0.452548,P,VIX,1
117801,20070703,91,15.891429,1.589726,0.536496,-0.446725,P,VIX,1
117801,20070703,122,16.038286,1.754015,0.511566,-0.441219,P,VIX,1
117801,20070703,152,16.063928,1.890931,0.494379,-0.436631,P,VIX,1
117801,20070703,182,16.097258,1.956043,0.467497,-0.434449,P,VIX,1
117801,20070703,273,16.227392,2.267373,0.44316,-0.424016,P,VIX,1
117801,20070705,30,15.824286,1.151544,0.651353,0.537195,C,VIX,1
117801,20070705,60,16.030001,1.517079,0.607428,0.549001,C,VIX,1
117801,20070705,91,16.062143,1.699558,0.552915,0.554895,C,VIX,1
117801,20070705,122,16.120857,1.846871,0.519218,0.559653,C,VIX,1
117801,20070705,152,16.168571,1.968706,0.496108,0.563589,C,VIX,1
117801,20070705,182,16.214194,2.027361,0.467009,0.565483,C,VIX,1
117801,20070705,273,16.309131,2.349643,0.44262,0.575893,C,VIX,1
117801,20070705,30,15.824286,1.166001,0.659554,-0.462338,P,VIX,1
117801,20070705,60,16.030001,1.526004,0.611019,-0.45071,P,VIX,1
117801,20070705,91,16.062143,1.697147,0.552125,-0.445183,P,VIX,1
117801,20070705,122,16.120857,1.854569,0.521399,-0.440098,P,VIX,1
117801,20070705,152,16.168571,1.988851,0.501228,-0.435761,P,VIX,1
117801,20070705,182,16.214194,2.057599,0.474039,-0.43354,P,VIX,1
117801,20070705,273,16.309131,2.416005,0.455282,-0.421964,P,VIX,1
117801,20070706,30,15.521143,1.027812,0.611276,0.534912,C,VIX,1
117801,20070706,60,15.7625,1.371496,0.577349,0.546586,C,VIX,1
117801,20070706,91,15.862857,1.532366,0.524093,0.55205,C,VIX,1
117801,20070706,122,15.948,1.694424,0.500825,0.557555,C,VIX,1
117801,20070706,152,16.03,1.829024,0.484611,0.562127,C,VIX,1
