Date, Timestamp, Ticker, OptionType, Strike, Expiration, OpenPrice, HighPrice, LowPrice, ClosePrice, TotalVolume, TotalQuantity, TotalTradeCount
20150126, 09:30:01.000, AAPL, C, 113.0000, 20150220, 4.40, 4.40, 4.40, 4.40, 26.40, 6, 2
20150126, 09:30:01.000, AAPL, C, 117.0000, 20150206, 1.96, 1.96, 1.96, 1.96, 1.96, 1, 1
20150126, 09:30:01.000, AAPL, P, 95.0000, 20150206, 0.20, 0.20, 0.20, 0.20, 0.40, 2, 1
20150126, 09:30:01.000, AAPL, C, 145.0000, 20160115, 3.45, 3.45, 3.45, 3.45, 3.45, 1, 1
20150126, 09:30:01.000, AAPL, C, 130.0000, 20150515, 2.10, 2.10, 2.10, 2.10, 16.80, 8, 1
20150126, 09:30:01.000, AAPL, C, 115.0000, 20150227, 3.80, 3.80, 3.80, 3.80, 41.80, 11, 1
20150126, 09:30:01.000, AAPL, P, 116.0000, 20150220, 5.55, 5.55, 5.55, 5.55, 111.00, 20, 1
20150126, 09:30:01.000, AAPL, C, 115.0000, 20150206, 2.96, 2.96, 2.96, 2.96, 11.84, 4, 1
20150126, 09:30:01.000, AAPL, C, 120.0000, 20150213, 1.37, 1.37, 1.37, 1.37, 34.25, 25, 1
20150126, 09:30:01.000, AAPL, C, 114.0000, 20150227, 4.20, 4.20, 4.20, 4.20, 33.60, 8, 1
20150126, 09:30:01.000, AAPL, C, 115.0000, 20150306, 4.20, 4.20, 4.20, 4.20, 16.80, 4, 1
20150126, 09:30:01.000, AAPL, P, 80.0000, 20170120, 6.00, 6.00, 6.00, 6.00, 60.00, 10, 1
20150126, 09:30:01.000, AAPL, C, 145.0000, 20150220, 0.05, 0.05, 0.05, 0.05, 0.90, 18, 1
20150126, 09:30:01.000, AAPL, C, 121.0000, 20150213, 1.12, 1.12, 1.12, 1.12, 7.84, 7, 1
20150126, 09:30:01.000, AAPL, C, 113.0000, 20150213, 4.10, 4.10, 4.10, 4.10, 32.80, 8, 1
20150126, 09:30:01.000, AAPL, C, 118.0000, 20150220, 2.18, 2.18, 2.18, 2.18, 21.80, 10, 1
20150126, 09:30:01.000, AAPL, C, 100.0000, 20150130, 14.00, 14.00, 14.00, 14.00, 882.00, 63, 1
20150126, 09:30:01.000, AAPL, P, 102.0000, 20150227, 1.17, 1.17, 1.17, 1.17, 2.34, 2, 1
20150126, 09:30:01.000, AAPL, P, 107.0000, 20150220, 1.79, 1.79, 1.79, 1.79, 3.58, 2, 1
20150126, 09:30:01.000, AAPL, P, 106.0000, 20150206, 1.12, 1.12, 1.12, 1.12, 13.44, 12, 1
20150126, 09:30:01.000, AAPL, C, 112.0000, 20150220, 4.90, 4.90, 4.90, 4.90, 49.00, 10, 1
20150126, 09:30:01.000, AAPL, C, 125.0000, 20150515, 2.87, 2.87, 2.87, 2.87, 2.87, 1, 1
20150126, 09:30:01.000, AAPL, C, 122.0000, 20150227, 1.28, 1.28, 1.28, 1.28, 2.56, 2, 1
20150126, 09:30:01.000, AAPL, C, 119.0000, 20150206, 1.25, 1.25, 1.25, 1.25, 3.75, 3, 1
20150126, 09:30:01.000, AAPL, P, 98.0000, 20150206, 0.33, 0.33, 0.33, 0.33, 0.99, 3, 1
20150126, 09:30:01.000, AAPL, P, 109.0000, 20150206, 1.87, 1.87, 1.87, 1.87, 3.74, 2, 1
20150126, 09:30:01.000, AAPL, P, 104.0000, 20150130, 0.41, 0.41, 0.41, 0.41, 6.97, 17, 1
20150126, 09:30:01.000, AAPL, C, 118.0000, 20150206, 1.49, 1.49, 1.49, 1.49, 5.96, 4, 1
20150126, 09:30:01.000, AAPL, P, 115.0000, 20150130, 3.60, 3.60, 3.60, 3.60, 18.00, 5, 1
20150126, 09:30:01.000, AAPL, C, 117.1400, 20150417, 4.55, 4.55, 4.55, 4.55, 4.55, 1, 1
20150126, 09:30:01.000, AAPL, C, 116.0000, 20150206, 2.14, 2.14, 2.14, 2.14, 4.28, 2, 1
20150126, 09:30:01.000, AAPL, C, 117.0000, 20150220, 2.48, 2.48, 2.48, 2.48, 14.88, 6, 1
20150126, 09:30:01.000, AAPL, P, 97.5000, 20150320, 1.00, 1.00, 1.00, 1.00, 2.00, 2, 1
20150126, 09:30:01.000, AAPL, C, 130.0000, 20150220, 0.33, 0.33, 0.33, 0.33, 3.30, 10, 1
20150126, 09:30:01.000, AAPL, C, 122.0000, 20150306, 1.51, 1.51, 1.51, 1.51, 39.26, 26, 1
20150126, 09:30:01.000, AAPL, C, 109.0000, 20150220, 6.85, 6.85, 6.85, 6.85, 6.85, 1, 1
20150126, 09:30:01.000, AAPL, P, 101.0000, 20150220, 0.74, 0.74, 0.74, 0.74, 3.70, 5, 1
20150126, 09:30:01.000, AAPL, P, 103.0000, 20150130, 0.33, 0.33, 0.33, 0.33, 1.98, 6, 1
20150126, 09:30:01.000, AAPL, C, 122.0000, 20150130, 0.44, 0.44, 0.44, 0.44, 61.60, 140, 1
20150126, 09:30:01.000, AAPL, C, 90.0000, 20150717, 24.75, 24.75, 24.75, 24.75, 24.75, 1, 1
20150126, 09:30:01.000, AAPL, C, 125.0000, 20150206, 0.43, 0.43, 0.43, 0.43, 1.72, 4, 1
20150126, 09:30:01.000, AAPL, C, 110.0000, 20150213, 5.75, 5.75, 5.75, 5.75, 5.75, 1, 1
20150126, 09:30:01.000, AAPL, P, 100.0000, 20150130, 0.20, 0.20, 0.20, 0.20, 12.00, 60, 1
20150126, 09:30:01.000, AAPL, C, 115.0000, 20150515, 6.35, 6.35, 6.35, 6.35, 273.05, 43, 1
20150126, 09:30:01.000, AAPL, C, 128.0000, 20150130, 0.12, 0.12, 0.12, 0.12, 0.12, 1, 1
20150126, 09:30:01.000, AAPL, C, 114.0000, 20150220, 3.75, 3.75, 3.75, 3.75, 18.75, 5, 1
20150126, 09:30:01.000, AAPL, C, 119.0000, 20150213, 1.53, 1.53, 1.53, 1.53, 1.53, 1, 1
20150126, 09:30:01.000, AAPL, P, 100.0000, 20151016, 5.65, 5.65, 5.65, 5.65, 39.55, 7, 1
20150126, 09:30:01.000, AAPL, P, 111.0000, 20150130, 1.85, 1.85, 1.85, 1.85, 1.85, 1, 1
20150126, 09:30:01.000, AAPL, P, 102.0000, 20150130, 0.27, 0.27, 0.27, 0.27, 1.62, 6, 1
20150126, 09:30:01.000, AAPL, C, 104.0000, 20150130, 9.95, 9.95, 9.95, 9.95, 9.95, 1, 1
20150126, 09:30:01.000, AAPL, P, 95.0000, 20150220, 0.32, 0.32, 0.32, 0.32, 0.32, 1, 1
20150126, 09:30:01.000, AAPL, C, 100.0000, 20150220, 14.05, 14.05, 14.05, 14.05, 70.25, 5, 1
20150126, 09:30:01.000, AAPL, P, 95.0000, 20150717, 2.66, 2.66, 2.66, 2.66, 2.66, 1, 1
20150126, 09:30:01.000, AAPL, C, 120.0000, 20150717, 6.00, 6.00, 6.00, 6.00, 36.00, 6, 1
20150126, 09:30:01.000, AAPL, C, 90.0000, 20150417, 23.85, 23.85, 23.85, 23.85, 47.70, 2, 1
20150126, 09:30:01.000, AAPL, P, 110.0000, 20150417, 4.75, 4.75, 4.75, 4.75, 19.00, 4, 1
20150126, 09:30:01.000, AAPL, C, 100.0000, 20160115, 19.55, 19.55, 19.55, 19.55, 39.10, 2, 1
20150126, 09:30:01.000, AAPL, C, 110.0000, 20150417, 7.85, 7.85, 7.85, 7.85, 62.80, 8, 1
20150126, 09:30:01.000, AAPL, C, 85.7100, 20160115, 29.95, 29.95, 29.95, 29.95, 299.50, 10, 1
20150126, 09:30:01.000, AAPL, P, 65.0000, 20150220, 0.02, 0.02, 0.02, 0.02, 0.02, 1, 1
20150126, 09:30:01.000, AAPL, C, 105.0000, 20160115, 16.90, 16.90, 16.90, 16.90, 84.50, 5, 2
20150126, 09:30:01.000, AAPL, C, 116.0000, 20150220, 2.95, 2.95, 2.95, 2.95, 5.90, 2, 1
20150126, 09:30:01.000, AAPL, C, 120.0000, 20150417, 3.40, 3.40, 3.40, 3.40, 68.00, 20, 1
20150126, 09:30:01.000, AAPL, C, 150.0000, 20160115, 2.83, 2.83, 2.83, 2.83, 28.30, 10, 1
20150126, 09:30:01.000, AAPL, C, 135.0000, 20150220, 0.20, 0.20, 0.20, 0.20, 2.00, 10, 1
