Date, Timestamp, Ticker, OptionType, Strike, Expiration, OpenPrice, HighPrice, LowPrice, ClosePrice, TotalVolume, TotalQuantity, TotalTradeCount
20150127, 09:31:03.000, IBM, P, 155.0000, 20150306, 4.00, 4.00, 4.00, 4.00, 4.00, 1, 1
20150127, 09:31:03.000, IBM, C, 155.0000, 20150130, 1.04, 1.04, 1.04, 1.04, 15.60, 15, 1
20150127, 09:31:03.000, IBM, P, 160.0000, 20150220, 6.80, 6.80, 6.80, 6.80, 20.40, 3, 1
20150127, 09:31:03.000, IBM, P, 155.0000, 20150130, 1.25, 1.25, 1.25, 1.25, 18.75, 15, 1
20150127, 09:31:03.000, IBM, C, 160.0000, 20150130, 0.10, 0.10, 0.10, 0.10, 0.50, 5, 1
20150127, 09:31:03.000, IBM, P, 145.0000, 20160115, 8.60, 8.60, 8.60, 8.60, 43.00, 5, 1
20150127, 09:31:03.000, IBM, P, 155.0000, 20150220, 3.10, 3.10, 3.10, 3.10, 3.10, 1, 1
20150127, 09:31:03.000, IBM, P, 149.0000, 20150213, 0.70, 0.70, 0.70, 0.70, 0.70, 1, 1
20150127, 09:31:03.000, IBM, P, 147.0000, 20150227, 0.90, 0.90, 0.90, 0.90, 0.90, 1, 1
20150127, 09:31:03.000, IBM, C, 165.0000, 20150417, 1.04, 1.04, 1.02, 1.02, 2.06, 2, 2
20150127, 09:31:03.000, IBM, C, 170.0000, 20150220, 0.13, 0.13, 0.13, 0.13, 0.65, 5, 2
20150127, 09:31:03.000, IBM, C, 170.0000, 20150417, 0.71, 0.71, 0.71, 0.71, 1.42, 2, 2
20150127, 09:31:03.000, IBM, P, 140.0000, 20150717, 3.10, 3.10, 3.10, 3.10, 15.50, 5, 1
20150127, 09:31:03.000, IBM, P, 125.0000, 20170120, 8.00, 8.00, 8.00, 8.00, 56.00, 7, 1
20150127, 09:31:03.000, IBM, C, 160.0000, 20150320, 1.71, 1.71, 1.71, 1.71, 34.20, 20, 1
