Date, Timestamp, Ticker, OptionType, Strike, Expiration, OpenPrice, HighPrice, LowPrice, ClosePrice, TotalVolume, TotalQuantity, TotalTradeCount
20150128, 09:31:07.000, ADT, C, 36.0000, 20150220, 0.70, 0.70, 0.70, 0.70, 4.20, 6, 2
20150128, 09:31:37.000, ADT, C, 39.0000, 20150417, 0.45, 0.45, 0.45, 0.45, 0.45, 1, 1
20150128, 09:31:46.000, ADT, C, 38.0000, 20160115, 2.70, 2.70, 2.70, 2.70, 8.10, 3, 1
20150128, 09:31:46.000, ADT, C, 40.0000, 20150717, 1.00, 1.00, 0.90, 0.90, 14.00, 15, 2
20150128, 09:32:13.000, ADT, C, 38.0000, 20160115, 3.00, 3.00, 3.00, 3.00, 6.00, 2, 1
20150128, 09:32:22.000, ADT, P, 36.0000, 20150320, 1.50, 1.50, 1.50, 1.50, 7.50, 5, 1
20150128, 09:34:16.000, ADT, C, 36.0000, 20150417, 1.51, 1.51, 1.51, 1.51, 1.51, 1, 1
20150128, 09:35:29.000, ADT, C, 40.0000, 20150220, 0.05, 0.05, 0.05, 0.05, 0.35, 7, 1
20150128, 09:37:18.000, ADT, P, 35.0000, 20150320, 1.20, 1.20, 1.20, 1.20, 12.00, 10, 1
20150128, 09:40:52.000, ADT, C, 34.0000, 20150220, 1.86, 1.86, 1.86, 1.86, 9.30, 5, 1
20150128, 09:40:53.000, ADT, P, 34.0000, 20150220, 0.47, 0.47, 0.47, 0.47, 2.35, 5, 1
20150128, 09:41:00.000, ADT, P, 36.0000, 20150320, 1.70, 1.70, 1.70, 1.70, 8.50, 5, 2
20150128, 09:44:50.000, ADT, C, 36.0000, 20150417, 1.60, 1.60, 1.60, 1.60, 6.40, 4, 4
20150128, 09:45:46.000, ADT, C, 35.0000, 20150220, 1.60, 1.60, 1.60, 1.60, 3.20, 2, 2
20150128, 09:45:47.000, ADT, C, 33.0000, 20150220, 3.20, 3.20, 3.20, 3.20, 22.40, 7, 3
20150128, 09:45:56.000, ADT, P, 33.0000, 20150417, 0.75, 0.75, 0.75, 0.75, 5.25, 7, 1
20150128, 09:45:56.000, ADT, C, 35.0000, 20150220, 1.65, 1.65, 1.65, 1.65, 1.65, 1, 1
20150128, 09:46:01.000, ADT, P, 33.0000, 20150320, 0.50, 0.50, 0.50, 0.50, 2.50, 5, 1
20150128, 09:46:04.000, ADT, C, 35.0000, 20150320, 2.05, 2.05, 2.00, 2.00, 128.75, 63, 9
20150128, 09:46:05.000, ADT, C, 35.0000, 20150320, 2.05, 2.05, 2.00, 2.00, 60.75, 30, 2
20150128, 09:47:09.000, ADT, C, 36.0000, 20150220, 1.00, 1.00, 1.00, 1.00, 2.00, 2, 1
20150128, 09:53:09.000, ADT, P, 35.0000, 20150220, 0.80, 0.85, 0.80, 0.85, 11.70, 14, 2
20150128, 09:58:16.000, ADT, P, 34.0000, 20150417, 1.30, 1.30, 1.30, 1.30, 1.30, 1, 1
20150128, 09:58:17.000, ADT, P, 34.0000, 20150417, 1.30, 1.30, 1.30, 1.30, 1.30, 1, 1
20150128, 09:58:17.000, ADT, P, 35.0000, 20150320, 1.45, 1.45, 1.45, 1.45, 18.85, 13, 3
20150128, 09:58:42.000, ADT, C, 36.0000, 20150220, 0.50, 0.50, 0.50, 0.50, 1.50, 3, 1
20150128, 09:58:52.000, ADT, P, 35.0000, 20150320, 1.45, 1.45, 1.45, 1.45, 36.25, 25, 3
20150128, 09:59:24.000, ADT, C, 39.0000, 20150417, 0.35, 0.35, 0.35, 0.35, 14.00, 40, 1
20150128, 09:59:54.000, ADT, C, 36.0000, 20150220, 0.51, 0.51, 0.51, 0.51, 1.53, 3, 1
20150128, 10:00:09.000, ADT, C, 36.0000, 20150220, 0.55, 0.55, 0.55, 0.55, 1.65, 3, 1
20150128, 10:02:38.000, ADT, P, 35.0000, 20150320, 1.45, 1.45, 1.45, 1.45, 2.90, 2, 1
20150128, 10:03:19.000, ADT, C, 35.0000, 20150220, 1.05, 1.05, 1.05, 1.05, 15.75, 15, 1
20150128, 10:05:20.000, ADT, C, 33.0000, 20150220, 2.42, 2.42, 2.42, 2.42, 2.42, 1, 1
20150128, 10:07:43.000, ADT, C, 37.0000, 20150220, 0.39, 0.39, 0.39, 0.39, 1.17, 3, 1
20150128, 10:07:43.000, ADT, P, 30.0000, 20150220, 0.08, 0.08, 0.08, 0.08, 0.24, 3, 1
20150128, 10:15:34.000, ADT, C, 36.0000, 20150320, 0.90, 0.90, 0.90, 0.90, 4.50, 5, 1
20150128, 10:18:19.000, ADT, C, 39.0000, 20150417, 0.35, 0.35, 0.35, 0.35, 5.95, 17, 1
20150128, 10:19:27.000, ADT, P, 32.0000, 20150220, 0.25, 0.25, 0.25, 0.25, 7.50, 30, 3
20150128, 10:19:37.000, ADT, P, 33.0000, 20150220, 0.40, 0.40, 0.40, 0.40, 16.00, 40, 4
20150128, 10:19:46.000, ADT, C, 37.0000, 20150417, 0.80, 0.80, 0.80, 0.80, 8.00, 10, 1
20150128, 10:19:46.000, ADT, C, 39.0000, 20150417, 0.35, 0.35, 0.35, 0.35, 2.45, 7, 1
20150128, 10:19:47.000, ADT, C, 37.0000, 20150417, 0.80, 0.80, 0.80, 0.80, 8.00, 10, 1
20150128, 10:19:53.000, ADT, P, 32.0000, 20150220, 0.25, 0.25, 0.25, 0.25, 2.50, 10, 2
20150128, 10:22:37.000, ADT, P, 33.0000, 20150220, 0.40, 0.40, 0.40, 0.40, 9.20, 23, 2
20150128, 10:22:37.000, ADT, P, 32.0000, 20150220, 0.25, 0.25, 0.25, 0.25, 3.25, 13, 2
20150128, 10:22:51.000, ADT, C, 35.0000, 20150417, 1.60, 1.60, 1.60, 1.60, 25.60, 16, 1
20150128, 10:24:24.000, ADT, P, 38.0000, 20150717, 4.60, 4.60, 4.60, 4.60, 9.20, 2, 1
20150128, 10:33:38.000, ADT, C, 34.0000, 20150220, 1.38, 1.38, 1.38, 1.38, 6.90, 5, 1
20150128, 10:34:30.000, ADT, C, 34.0000, 20150220, 1.38, 1.38, 1.38, 1.38, 6.90, 5, 1
20150128, 10:38:42.000, ADT, P, 34.0000, 20150417, 1.45, 1.45, 1.45, 1.45, 1.45, 1, 1
20150128, 10:39:07.000, ADT, P, 34.0000, 20150320, 1.15, 1.15, 1.15, 1.15, 16.10, 14, 4
20150128, 10:39:10.000, ADT, P, 34.0000, 20150320, 1.15, 1.15, 1.15, 1.15, 11.50, 10, 2
20150128, 10:46:20.000, ADT, C, 35.0000, 20150220, 0.90, 0.90, 0.90, 0.90, 13.50, 15, 3
20150128, 10:51:23.000, ADT, C, 37.0000, 20150320, 0.52, 0.52, 0.52, 0.52, 8.84, 17, 1
20150128, 10:51:23.000, ADT, C, 35.0000, 20150220, 0.87, 0.87, 0.87, 0.87, 14.79, 17, 1
20150128, 10:51:42.000, ADT, C, 37.0000, 20150320, 0.53, 0.53, 0.53, 0.53, 9.01, 17, 1
20150128, 10:51:42.000, ADT, C, 35.0000, 20150220, 0.87, 0.87, 0.87, 0.87, 14.79, 17, 1
20150128, 10:51:56.000, ADT, C, 37.0000, 20150320, 0.54, 0.54, 0.54, 0.54, 9.18, 17, 1
